club_id,club_slug,club_name,logo_url,country_name,season_id,competition_id,competition_slug,competition_name,club_division,source_url,_last_modified_at
10004,paris-fc,Paris FC (10004),https://tmssl.akamaized.net//images/wappen/head/10004.png?lm=1411995262,France,2008,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/paris-fc/startseite/verein/10004/saison_id/2008,2025-09-13 10:06:09
1005,us-lecce,US Lecce (1005),https://tmssl.akamaized.net//images/wappen/head/1005.png?lm=1689169528,Italy,2023,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/us-lecce/startseite/verein/1005/saison_id/2023,2025-09-13 09:22:39
1025,fc-bologna,Bologna FC 1909 (1025),https://tmssl.akamaized.net//images/wappen/head/1025.png?lm=1626441324,Italy,2024,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2024,2025-09-13 09:04:09
1041,olympique-lyon,Olympique Lyon (1041),https://tmssl.akamaized.net//images/wappen/head/1041.png?lm=1656668172,France,2024,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2024,2025-09-13 10:24:27
1049,fc-valencia,Valencia CF (1049),https://tmssl.akamaized.net//images/wappen/head/1049.png?lm=1406966320,Spain,2023,ES1,laliga,LaLiga,LaLiga,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2023,2025-09-13 09:14:08
1047,como-1907,Como 1907 (1047),https://tmssl.akamaized.net//images/wappen/head/1047.png?lm=1565704078,Italy,2017,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/como-1907/startseite/verein/1047/saison_id/2017,2025-09-13 10:20:50
1050,fc-villarreal,Villarreal CF (1050),https://tmssl.akamaized.net//images/wappen/head/1050.png?lm=1408655310,Spain,2014,ES1,laliga,LaLiga,LaLiga,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2014,2025-09-13 09:14:06
1082,losc-lille,LOSC Lille (1082),https://tmssl.akamaized.net//images/wappen/head/1082.png?lm=1529521041,France,2010,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2010,2025-09-13 10:25:22
11,fc-arsenal,Arsenal FC (11),https://tmssl.akamaized.net//images/wappen/head/11.png?lm=1489787850,England,2004,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2004,2025-09-13 09:22:44
1108,deportivo-alaves,Deportivo Alavés (1108),https://tmssl.akamaized.net//images/wappen/head/1108.png?lm=1596131395,Spain,2024,ES1,laliga,LaLiga,LaLiga,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2024,2025-09-13 09:14:07
